ID,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad
1947,32,Government Sector,Yes,850000,7,,Yes,Yes
1948,32,Government Sector,Yes,900000,2,,Yes,No
1949,35,Private Sector/Self Employed,,800000,6,,Yes,No
1950,34,Private Sector/Self Employed,Yes,700000,6,,No,No
1951,28,Private Sector/Self Employed,Yes,1250000,6,,No,Yes
1952,27,Private Sector/Self Employed,,600000,4,,No,No
1953,31,Government Sector,Yes,1500000,4,,Yes,Yes
1954,34,Government Sector,Yes,1300000,7,,No,No
1955,30,Private Sector/Self Employed,,550000,6,1.0,No,No
1956,33,Government Sector,Yes,1750000,4,,No,No
1957,32,Government Sector,Yes,350000,3,1.0,No,Yes
1958,31,Private Sector/Self Employed,Yes,1250000,7,,No,No
1959,31,Government Sector,Yes,1300000,3,1.0,No,No
1960,28,Private Sector/Self Employed,,550000,6,,No,No
1961,28,Government Sector,Yes,300000,6,,No,No
1962,26,Government Sector,Yes,500000,3,,No,No
1963,25,Private Sector/Self Employed,,1150000,7,,No,No
1964,33,Government Sector,Yes,1100000,4,,No,No
1965,28,Government Sector,Yes,1100000,4,,No,No
1966,30,Private Sector/Self Employed,,550000,3,,No,No
1967,34,Private Sector/Self Employed,Yes,700000,3,,Yes,No
1968,34,Private Sector/Self Employed,Yes,700000,3,1.0,No,No
1969,28,Government Sector,Yes,300000,5,1.0,No,No
1970,31,Private Sector/Self Employed,Yes,500000,4,1.0,No,No
1971,29,Private Sector/Self Employed,Yes,500000,4,,No,No
1972,31,Private Sector/Self Employed,Yes,950000,5,,No,No
1973,28,Private Sector/Self Employed,Yes,800000,5,1.0,No,No
1974,31,Private Sector/Self Employed,Yes,1350000,3,,No,Yes
1975,28,Private Sector/Self Employed,Yes,1200000,6,,Yes,No
1976,26,Private Sector/Self Employed,Yes,1400000,9,,No,Yes
1977,32,Government Sector,Yes,900000,6,,No,No
1978,25,Private Sector/Self Employed,,1350000,6,,No,Yes
1979,34,Private Sector/Self Employed,Yes,700000,5,,No,No
1980,28,Private Sector/Self Employed,Yes,1100000,4,1.0,No,No
1981,25,Private Sector/Self Employed,,1150000,5,1.0,No,No
1982,27,Government Sector,Yes,850000,3,,No,No
1983,33,Private Sector/Self Employed,Yes,1500000,4,,Yes,Yes
1984,28,Private Sector/Self Employed,Yes,1750000,5,1.0,No,Yes
1985,28,Private Sector/Self Employed,Yes,1150000,6,1.0,No,No
1986,34,Private Sector/Self Employed,Yes,1000000,6,,Yes,Yes
1987,34,Private Sector/Self Employed,Yes,500000,4,,No,No
